Price,index,Date,Adj Close,Close,High,Low,Open,Volume
Ticker,,,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
0,0,2000-01-03,0.8430763483047485,0.9994419813156128,1.004464030265808,0.9079239964485168,0.9363840222358704,535796800
1,1,2000-01-04,0.7719966769218445,0.9151790142059326,0.9877229928970337,0.9034600257873535,0.966517984867096,512377600
2,2,2000-01-05,0.7832932472229004,0.9285709857940674,0.9871649742126465,0.919642984867096,0.9263389706611633,778321600
3,3,2000-01-06,0.7155085802078247,0.8482139706611633,0.955357015132904,0.8482139706611633,0.9475449919700623,767972800
4,4,2000-01-07,0.7494015097618103,0.888392984867096,0.9017860293388367,0.8526790142059326,0.861607015132904,460734400
5,5,2000-01-10,0.7362210750579834,0.872767984867096,0.9129459857940674,0.845982015132904,0.9107139706611633,505064000
6,6,2000-01-11,0.6985624432563782,0.828125,0.8872770071029663,0.8080360293388367,0.8565850257873535,441548800
7,7,2000-01-12,0.6566678285598755,0.7784600257873535,0.8526790142059326,0.7723209857940674,0.8482139706611633,976068800
8,8,2000-01-13,0.7286890149116516,0.8638389706611633,0.8816959857940674,0.825892984867096,0.8436099886894226,1032684800
9,9,2000-01-14,0.7564619779586792,0.896763026714325,0.9129459857940674,0.8872770071029663,0.892857015132904,390376000
10,10,2000-01-18,0.7828226685523987,0.928013026714325,0.9464290142059326,0.896763026714325,0.9017860293388367,459177600
11,11,2000-01-19,0.802594006061554,0.9514510035514832,0.970982015132904,0.9229909777641296,0.9430800080299377,597643200
12,12,2000-01-20,0.8548447489738464,1.0133930444717407,1.0848209857940674,1.0133930444717407,1.03125,1831132800
13,13,2000-01-21,0.8383693695068359,0.993861973285675,1.020089030265808,0.9838169813156128,1.020089030265808,495924800
14,14,2000-01-24,0.8002403974533081,0.9486610293388367,1.0066959857940674,0.9386159777641296,0.9681919813156128,440876800
15,15,2000-01-25,0.8454300761222839,1.0022319555282593,1.010045051574707,0.9140629768371582,0.9375,497145600
16,16,2000-01-26,0.8298960328102112,0.9838169813156128,1.019531011581421,0.9799110293388367,0.982142984867096,367158400
17,17,2000-01-27,0.8284839391708374,0.982142984867096,1.0089290142059326,0.955357015132904,0.9715399742126465,340144000
18,18,2000-01-28,0.7654059529304504,0.9073659777641296,0.9899550080299377,0.8984379768371582,0.9659600257873535,423348800
19,19,2000-01-31,0.781410813331604,0.9263389706611633,0.9274550080299377,0.84375,0.9017860293388367,701680000
20,20,2000-02-01,0.7550498247146606,0.8950889706611633,0.9375,0.892857015132904,0.9285709857940674,318035200
21,21,2000-02-02,0.7442227005958557,0.8822540044784546,0.9118300080299377,0.8660709857940674,0.8995540142059326,464195200
22,22,2000-02-03,0.7781158685684204,0.9224330186843872,0.9308040142059326,0.8950889706611633,0.8956469893455505,475193600
23,23,2000-02-04,0.8134210109710693,0.9642860293388367,0.982142984867096,0.9252229928970337,0.928013026714325,425320000
24,24,2000-02-07,0.8590812087059021,1.0184149742126465,1.020089030265808,0.9458709955215454,0.9642860293388367,441067200
25,25,2000-02-08,0.8652011156082153,1.025670051574707,1.036829948425293,0.9933040142059326,1.0178569555282593,408643200
26,26,2000-02-09,0.8482541441917419,1.005579948425293,1.0457589626312256,1.003906011581421,1.0189729928970337,299364800
27,27,2000-02-10,0.8548447489738464,1.0133930444717407,1.0167410373687744,0.982142984867096,1.0078129768371582,302982400
28,28,2000-02-11,0.8190690875053406,0.970982015132904,1.0189729928970337,0.966517984867096,1.0145089626312256,212251200
29,29,2000-02-14,0.8722614049911499,1.0340399742126465,1.0345979928970337,0.9698659777641296,0.9760040044784546,367539200
30,30,2000-02-15,0.8962689638137817,1.0625,1.0708709955215454,1.0284600257873535,1.0290180444717407,485744000
31,31,2000-02-16,0.8595519661903381,1.0189729928970337,1.0546879768371582,1.0011160373687744,1.051339030265808,378246400
